
Scan Time:     2024-04-09 10:56:28
Target File:   /home/kali/sync/dora.bin
MD5 Checksum:  d58d75d707e56b378367c301cc317aee
Signatures:    445
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
510200        0x7C8F8         Intel x86 or x64 microcode, sig 0x00040000, pf_mask 0x20006, 0000-00-00, rev 0x4000c, size 131072
510246        0x7C926         Intel x86 or x64 microcode, sig 0x00020000, pf_mask 0x80000, 0003-00-00, size 11534343
510430        0x7C9DE         Intel x86 or x64 microcode, sig 0x01020000, pf_mask 0x10000, FE41-00-01, rev 0x0101, size 196608
510440        0x7C9E8         Intel x86 or x64 microcode, sig 0x00000018, pf_mask 0x30003, FCA4-00-01, rev 0x-7ffffefe, size 6815793
510458        0x7C9FA         Intel x86 or x64 microcode, sig 0x00310035, pf_mask 0x4a000c, 0003-00-00, rev 0x30000, size 2162699
510616        0x7CA98         Intel x86 or x64 microcode, pf_mask 0x50000, 3FF0-00-00, size 256
510758        0x7CB26         Intel x86 or x64 microcode, sig 0x00500003, pf_mask 0x1f401f4, 0040-00-00, rev 0x20000, size 13107400
510982        0x7CC06         Intel x86 or x64 microcode, sig 0x00200006, pf_mask 0x400004, 0010-00-00, rev 0x30000, size 1769524
511610        0x7CE7A         Intel x86 or x64 microcode, sig 0x00800003, pf_mask 0x420040, 0040-00-00, rev 0x20000, size 24
511718        0x7CEE6         Intel x86 or x64 microcode, sig 0x00800003, pf_mask 0x03, 0040-00-00, rev 0x20000, size 250241
512078        0x7D04E         Intel x86 or x64 microcode, sig 0x001b001a, pf_mask 0x80000100, 0018-00-19, rev 0x178000, size 262144
512320        0x7D140         Intel x86 or x64 microcode, sig 0x80000100, pf_mask 0x00, 0010-80-00, rev 0x20000, size 16809984
512412        0x7D19C         Intel x86 or x64 microcode, sig 0x00000003, pf_mask 0x00, 8000-AD-F5, rev 0x1008000, size 393286
533692        0x824BC         LZMA compressed data, properties: 0x90, dictionary size: 0 bytes, uncompressed size: 0 bytes
534751        0x828DF         PC bitmap,
535157        0x82A75         EFS2 Qualcomm filesystem super block, little endian, , NAND version 0x-cb, -1929379840 blocks, 0x-23000000 pages per block, 0x7f33d8 bytes per page
537266        0x832B2         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
537815        0x834D7         LZMA compressed data, properties: 0x91, dictionary size: 0 bytes, uncompressed size: 0 bytes
538738        0x83872         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
540338        0x83EB2         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
540487        0x83F47         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
541314        0x84282         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
542342        0x84686         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
543899        0x84C9B         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
545478        0x852C6         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
555922        0x87B92         LZMA compressed data, properties: 0x90, dictionary size: 0 bytes, uncompressed size: 0 bytes
556993        0x87FC1         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
557083        0x8801B         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
557257        0x880C9         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
557455        0x8818F         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
557815        0x882F7         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
561267        0x89073         LZMA compressed data, properties: 0xD0, dictionary size: 0 bytes, uncompressed size: 0 bytes
561463        0x89137         Intel x86 or x64 microcode, sig 0x96250d06, pf_mask 0x96754896, 0000-00-00, size 1700369957
562087        0x893A7         LZMA compressed data, properties: 0x8A, dictionary size: 0 bytes, uncompressed size: 0 bytes
562132        0x893D4         LZMA compressed data, properties: 0x8A, dictionary size: 0 bytes, uncompressed size: 0 bytes
563415        0x898D7         LZMA compressed data, properties: 0x92, dictionary size: 0 bytes, uncompressed size: 0 bytes
563463        0x89907         LZMA compressed data, properties: 0x92, dictionary size: 0 bytes, uncompressed size: 0 bytes
564279        0x89C37         LZMA compressed data, properties: 0x92, dictionary size: 0 bytes, uncompressed size: 0 bytes
565446        0x8A0C6         EFS2 Qualcomm filesystem super block, little endian, , NAND version 0x3cdb, 1442840576 blocks, 0x0 pages per block, 0x0 bytes per page
567897        0x8AA59         EFS2 Qualcomm filesystem super block, little endian, , NAND version 0x791f, 1433788407 blocks, 0x-20089eab pages per block, 0x7ddff77d bytes per page
568603        0x8AD1B         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
571404        0x8B80C         EFS2 Qualcomm filesystem super block, little endian, , NOR version 0x7d5a, 0 blocks, 0x0 pages per block, 0x0 bytes per page
573751        0x8C137         Intel x86 or x64 microcode, sig 0x1ea37ddf, pf_mask 0x1cf37dd3, 8AF6-F7-51, rev 0x25050000, size 4152221687
575569        0x8C851         Intel x86 or x64 microcode, pf_mask 0xdff75d86, 0000-00-00, size 4152221687
580486        0x8DB86         MPEG transport stream data
580846        0x8DCEE         MPEG transport stream data
582621        0x8E3DD         LZMA compressed data, properties: 0x51, dictionary size: 0 bytes, uncompressed size: 0 bytes
582862        0x8E4CE         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
582913        0x8E501         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
585747        0x8F013         Private key in DER format (PKCS header length: 4, sequence length: 4161
585747        0x8F013         Certificate in DER format (x509 v3), header length: 4, sequence length: 4161
585747        0x8F013         Object signature in DER format (PKCS header length: 4, sequence length: 4161
585751        0x8F017         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
586750        0x8F3FE         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
587765        0x8F7F5         Broadcom firmware header Corporatio \ã. Model: â. Firmware version: EÙlà.
587885        0x8F86D         Broadcom firmware header Corporatio . Model: . Firmware version: .
587954        0x8F8B2         Broadcom firmware header Corporatio . Model: . Firmware version: .
588092        0x8F93C         Broadcom firmware header Corporatio . Model: . Firmware version: .
589591        0x8FF17         Intel x86 or x64 microcode, sig 0x07a10000, pf_mask 0x51144551, 0000-00-00, size 340087060
590596        0x90304         LZMA compressed data, properties: 0xC8, dictionary size: 0 bytes, uncompressed size: 0 bytes
590879        0x9041F         Broadcom firmware header Corporatio . Model: . Firmware version: .
591020        0x904AC         Broadcom firmware header Corporatio . Model: . Firmware version: .
591662        0x9072E         Broadcom firmware header Corporatio ÅGà. Model: . Firmware version: yq.
591848        0x907E8         Broadcom firmware header Corporatio . Model: . Firmware version: .
594447        0x9120F         EFS2 Qualcomm filesystem super block, little endian, , NAND version 0x300f, -142778505 blocks, 0x-20e89e62 pages per block, 0x5dd9f77d bytes per page
594495        0x9123F         EFS2 Qualcomm filesystem super block, little endian, , NAND version 0x180f, -143290718 blocks, 0x-2008c662 pages per block, 0x20ced57d bytes per page
594543        0x9126F         EFS2 Qualcomm filesystem super block, little endian, , NAND version 0x300f, 1176588517 blocks, 0x-2008a26b pages per block, 0x4d124265 bytes per page
594552        0x91278         EFS2 Qualcomm filesystem super block, little endian, , NOR version 0x9cc, 1331333 blocks, 0x5d462150 pages per block, 0x610a7575 bytes per page
594591        0x9129F         EFS2 Qualcomm filesystem super block, little endian, , NAND version 0x3c0f, -1570731545 blocks, 0x57f77d8e pages per block, 0x59138728 bytes per page
594837        0x91395         EFS2 Qualcomm filesystem super block, little endian, , NAND version 0x18cf, 610343046 blocks, 0x-63188662 pages per block, 0x6118b660 bytes per page
594885        0x913C5         EFS2 Qualcomm filesystem super block, little endian, , NAND version 0x18cf, 576002150 blocks, 0x-671886a2 pages per block, 0x418d0449 bytes per page
594933        0x913F5         EFS2 Qualcomm filesystem super block, little endian, , NAND version 0xc09, 558471395 blocks, 0x18c67158 pages per block, 0x745fe624 bytes per page
